Timestamp,Type,Severity,Source_IP,Destination_IP,Description
2025-08-09T18:53:55.339957,SUSPICIOUS_PORT,LOW,2409:40e2:101a:5c5d:242b:83d9:7cf3:93d3,2405:200:1630:b2f:face:b00c:3333:7020,Access to HTTPS port 443
2025-08-09T18:53:55.352858,SUSPICIOUS_PORT,LOW,2409:40e2:101a:5c5d:242b:83d9:7cf3:93d3,2405:200:1630:ff8d:face:b00c:3333:7020,Access to HTTPS port 443
2025-08-09T18:53:55.368873,SUSPICIOUS_PORT,LOW,2409:40e2:101a:5c5d:242b:83d9:7cf3:93d3,2405:200:1630:b2e:face:b00c:3333:7020,Access to HTTPS port 443
2025-08-09T18:53:55.384647,SUSPICIOUS_PORT,LOW,2409:40e2:101a:5c5d:242b:83d9:7cf3:93d3,2405:200:1630:b2f:face:b00c:3333:7020,Access to HTTPS port 443
2025-08-09T18:53:55.400437,SUSPICIOUS_PORT,LOW,2409:40e2:101a:5c5d:242b:83d9:7cf3:93d3,2405:200:1630:ff8d:face:b00c:3333:7020,Access to HTTPS port 443
2025-08-09T18:53:55.416618,SUSPICIOUS_PORT,LOW,2409:40e2:101a:5c5d:242b:83d9:7cf3:93d3,2405:200:1630:b2e:face:b00c:3333:7020,Access to HTTPS port 443
2025-08-09T18:53:55.438204,SUSPICIOUS_PORT,LOW,2409:40e2:101a:5c5d:242b:83d9:7cf3:93d3,2405:200:1615:2885:face:b00c:3333:7020,Access to HTTPS port 443
2025-08-09T18:53:55.451465,SUSPICIOUS_PORT,LOW,2409:40e2:101a:5c5d:242b:83d9:7cf3:93d3,2405:200:1615:2885:face:b00c:3333:7020,Access to HTTPS port 443
2025-08-09T18:53:55.463369,SUSPICIOUS_PORT,LOW,2409:40e2:101a:5c5d:242b:83d9:7cf3:93d3,2405:200:1630:ff9d:face:b00c:3333:7020,Access to HTTPS port 443
2025-08-09T18:53:55.463369,SUSPICIOUS_PORT,LOW,2409:40e2:101a:5c5d:242b:83d9:7cf3:93d3,2405:200:1630:ff9d:face:b00c:3333:7020,Access to HTTPS port 443
2025-08-09T18:53:59.904722,SUSPICIOUS_PORT,LOW,2409:40e2:101a:5c5d:242b:83d9:7cf3:93d3,2606:4700:8d93:5a02:8cd9:574:26fb:7c33,Access to HTTPS port 443
2025-08-09T18:54:05.945027,SUSPICIOUS_PORT,LOW,2409:40e2:101a:5c5d:242b:83d9:7cf3:93d3,2600:1f18:24e6:b900:2d16:a724:7ca3:5c63,Access to HTTPS port 443
2025-08-09T18:54:07.003487,SUSPICIOUS_PORT,LOW,10.17.28.137,10.17.28.64,Access to DNS port 53
2025-08-09T18:54:07.029476,SUSPICIOUS_PORT,LOW,10.17.28.137,10.17.28.64,Access to DNS port 53
2025-08-09T18:54:07.052104,SUSPICIOUS_PORT,LOW,10.17.28.137,10.17.28.64,Access to DNS port 53
2025-08-09T18:54:07.072785,SUSPICIOUS_PORT,LOW,10.17.28.137,10.17.28.64,Access to DNS port 53
2025-08-09T18:54:07.082983,SUSPICIOUS_PORT,LOW,10.17.28.137,10.17.28.64,Access to DNS port 53
2025-08-09T18:54:07.099135,SUSPICIOUS_PORT,LOW,10.17.28.137,10.17.28.64,Access to DNS port 53
2025-08-09T18:54:07.118952,SUSPICIOUS_PORT,LOW,10.17.28.137,10.17.28.64,Access to DNS port 53
2025-08-09T18:54:07.131820,SUSPICIOUS_PORT,LOW,10.17.28.137,10.17.28.64,Access to DNS port 53
2025-08-09T18:54:07.146845,SUSPICIOUS_PORT,LOW,10.17.28.137,10.17.28.64,Access to DNS port 53
2025-08-09T18:54:07.162864,SUSPICIOUS_PORT,LOW,10.17.28.137,10.17.28.64,Access to DNS port 53
2025-08-09T18:54:07.178577,SUSPICIOUS_PORT,LOW,10.17.28.137,10.17.28.64,Access to DNS port 53
2025-08-09T18:54:07.205439,SUSPICIOUS_PORT,LOW,10.17.28.137,10.17.28.64,Access to DNS port 53
2025-08-09T18:54:07.221315,SUSPICIOUS_PORT,LOW,2409:40e2:101a:5c5d:242b:83d9:7cf3:93d3,2409:40e2:101a:5c5d::1b,Access to DNS port 53
2025-08-09T18:54:07.228355,SUSPICIOUS_PORT,LOW,2409:40e2:101a:5c5d:242b:83d9:7cf3:93d3,2409:40e2:101a:5c5d::1b,Access to DNS port 53
2025-08-09T18:54:07.258337,SUSPICIOUS_PORT,LOW,2409:40e2:101a:5c5d:242b:83d9:7cf3:93d3,2409:40e2:101a:5c5d::1b,Access to DNS port 53
2025-08-09T19:03:06.559926,SUSPICIOUS_PORT,LOW,10.17.28.137,10.17.28.64,Access to DNS port 53
2025-08-09T19:03:06.575904,SUSPICIOUS_PORT,LOW,10.17.28.137,10.17.28.64,Access to DNS port 53
2025-08-09T19:03:06.591718,SUSPICIOUS_PORT,LOW,10.17.28.137,10.17.28.64,Access to DNS port 53
2025-08-09T19:03:06.626656,SUSPICIOUS_PORT,LOW,10.17.28.137,10.17.28.64,Access to DNS port 53
2025-08-09T19:03:06.642000,SUSPICIOUS_PORT,LOW,10.17.28.137,10.17.28.64,Access to DNS port 53
2025-08-09T19:03:06.655957,SUSPICIOUS_PORT,LOW,10.17.28.137,10.17.28.64,Access to DNS port 53
2025-08-09T19:03:06.672877,SUSPICIOUS_PORT,LOW,10.17.28.137,10.17.28.64,Access to DNS port 53
2025-08-09T19:03:06.687538,SUSPICIOUS_PORT,LOW,10.17.28.137,10.17.28.64,Access to DNS port 53
2025-08-09T19:03:06.721225,SUSPICIOUS_PORT,LOW,10.17.28.137,10.17.28.64,Access to DNS port 53
2025-08-09T19:03:06.748726,SUSPICIOUS_PORT,LOW,10.17.28.137,10.17.28.64,Access to DNS port 53
2025-08-09T19:03:06.767552,SUSPICIOUS_PORT,LOW,10.17.28.137,10.17.28.64,Access to DNS port 53
2025-08-09T19:03:06.791488,SUSPICIOUS_PORT,LOW,10.17.28.137,10.17.28.64,Access to DNS port 53
2025-08-09T19:03:06.809650,SUSPICIOUS_PORT,LOW,2409:40e2:101a:5c5d:242b:83d9:7cf3:93d3,2409:40e2:101a:5c5d::1b,Access to DNS port 53
2025-08-09T19:03:06.815409,SUSPICIOUS_PORT,LOW,2409:40e2:101a:5c5d:242b:83d9:7cf3:93d3,2409:40e2:101a:5c5d::1b,Access to DNS port 53
2025-08-09T19:03:06.849377,SUSPICIOUS_PORT,LOW,2409:40e2:101a:5c5d:242b:83d9:7cf3:93d3,2409:40e2:101a:5c5d::1b,Access to DNS port 53
2025-08-09T19:03:06.868165,SUSPICIOUS_PORT,LOW,2409:40e2:101a:5c5d:242b:83d9:7cf3:93d3,2409:40e2:101a:5c5d::1b,Access to DNS port 53
2025-08-09T19:03:06.878960,SUSPICIOUS_PORT,LOW,2409:40e2:101a:5c5d:242b:83d9:7cf3:93d3,2409:40e2:101a:5c5d::1b,Access to DNS port 53
2025-08-09T19:03:06.902347,SUSPICIOUS_PORT,LOW,2409:40e2:101a:5c5d:242b:83d9:7cf3:93d3,2409:40e2:101a:5c5d::1b,Access to DNS port 53
2025-08-09T19:03:06.916002,SUSPICIOUS_PORT,LOW,2409:40e2:101a:5c5d:242b:83d9:7cf3:93d3,2409:40e2:101a:5c5d::1b,Access to DNS port 53
2025-08-09T19:03:06.932493,SUSPICIOUS_PORT,LOW,2409:40e2:101a:5c5d:242b:83d9:7cf3:93d3,2409:40e2:101a:5c5d::1b,Access to DNS port 53
2025-08-09T19:03:06.952410,SUSPICIOUS_PORT,LOW,2409:40e2:101a:5c5d:242b:83d9:7cf3:93d3,2409:40e2:101a:5c5d::1b,Access to DNS port 53
2025-08-09T19:03:06.965638,SUSPICIOUS_PORT,LOW,2409:40e2:101a:5c5d:242b:83d9:7cf3:93d3,2409:40e2:101a:5c5d::1b,Access to DNS port 53
2025-08-09T19:03:06.973470,SUSPICIOUS_PORT,LOW,2409:40e2:101a:5c5d:242b:83d9:7cf3:93d3,2409:40e2:101a:5c5d::1b,Access to DNS port 53
2025-08-09T19:03:07.005354,SUSPICIOUS_PORT,LOW,2409:40e2:101a:5c5d:242b:83d9:7cf3:93d3,2409:40e2:101a:5c5d::1b,Access to DNS port 53
2025-08-09T19:03:07.030539,SUSPICIOUS_PORT,LOW,10.17.28.137,10.17.28.64,Access to DNS port 53
2025-08-09T19:03:07.053250,SUSPICIOUS_PORT,LOW,10.17.28.137,10.17.28.64,Access to DNS port 53
2025-08-09T19:07:34.916102,SUSPICIOUS_PORT,LOW,2409:40e2:101a:5c5d:242b:83d9:7cf3:93d3,2600:1f18:24e6:b901:72e3:1bfe:b271:96b2,Access to HTTPS port 443
2025-08-09T19:07:40.051753,SUSPICIOUS_PORT,LOW,2409:40e2:101a:5c5d:242b:83d9:7cf3:93d3,2606:4700:8d93:5a02:8cd9:56b:26fb:7c33,Access to HTTPS port 443
2025-08-09T19:07:40.082546,SUSPICIOUS_PORT,LOW,2409:40e2:101a:5c5d:242b:83d9:7cf3:93d3,2606:4700:8d93:5a02:8cd9:56b:26fb:7c33,Access to HTTPS port 443
2025-08-09T19:07:40.093540,SUSPICIOUS_PORT,LOW,2409:40e2:101a:5c5d:242b:83d9:7cf3:93d3,2606:4700:8d93:5a02:8cd9:56b:26fb:7c33,Access to HTTPS port 443
2025-08-09T19:07:40.109289,SUSPICIOUS_PORT,LOW,2409:40e2:101a:5c5d:242b:83d9:7cf3:93d3,2606:4700:99e3:5a02:8cd9:579:26fb:7c33,Access to HTTPS port 443
2025-08-09T19:07:40.136612,SUSPICIOUS_PORT,LOW,2409:40e2:101a:5c5d:242b:83d9:7cf3:93d3,2606:4700:99e3:5a02:8cd9:579:26fb:7c33,Access to HTTPS port 443
2025-08-09T19:07:40.158633,SUSPICIOUS_PORT,LOW,2409:40e2:101a:5c5d:242b:83d9:7cf3:93d3,2606:4700:99e3:5a02:8cd9:579:26fb:7c33,Access to HTTPS port 443
2025-08-09T19:07:40.177279,SUSPICIOUS_PORT,LOW,2409:40e2:101a:5c5d:242b:83d9:7cf3:93d3,2606:4700:99e3:5a02:8cd9:579:26fb:7c33,Access to HTTPS port 443
2025-08-09T19:07:40.196509,SUSPICIOUS_PORT,LOW,2409:40e2:101a:5c5d:242b:83d9:7cf3:93d3,2606:4700:99e3:5a02:8cd9:579:26fb:7c33,Access to HTTPS port 443
2025-08-09T19:07:40.456503,SUSPICIOUS_PORT,LOW,2409:40e2:101a:5c5d:242b:83d9:7cf3:93d3,2606:4700:8d93:5a02:8cd9:56b:26fb:7c33,Access to HTTPS port 443
2025-08-09T19:07:40.479273,SUSPICIOUS_PORT,LOW,2409:40e2:101a:5c5d:242b:83d9:7cf3:93d3,2606:4700:99e3:5a02:8cd9:579:26fb:7c33,Access to HTTPS port 443
